osm_id,epass_name,google_name,osm_name,latitude,longitude,google_maps_url
12600009196,Nút giao QL8A,Trạm Thu phí Quốc lộ 8A,Trạm Thu phí Quốc lộ 8A,18.534202100279487,105.6580146,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Qu%E1%BB%91c+l%E1%BB%99+8A/data=!4m7!3m6!1s0x3139c9004950d87b:0x8ddd89b493bed39d!8m2!3d18.5341964!4d105.6577418!16s%2Fg%2F11x32x4s9q!19sChIJe9hQSQDJOTERndO-k7SJ3Y0?authuser=0&hl=vi&rclk=1
12450564745,Nút giao QL46B,Trạm thu phí BOT Hưng Tây,Trạm Thu Phí Hưng Tây,18.706994600293005,105.6137435,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+BOT+H%C6%B0ng+T%C3%A2y/@18.7070716,105.6136523,17.56z/data=!4m15!1m8!3m7!1s0x3139e68ba8fc2d59:0x91cd118b6c499e7f!2zUUw0NkIsIE5naOG7hyBBbiwgVmnhu4d0IE5hbQ!3b1!8m2!3d18.8198567!4d105.3041564!16s%2Fg%2F1231glf2!3m5!1s0x3139cf000999534d:0xb237eb2716def5ac!8m2!3d18.7066864!4d105.613888!16s%2Fg%2F11mkvhmhwt?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
11938173243,Nút giao Nghi Phương,Trạm Thu phí Nghi Phương,Trạm Thu phí Nghi Phương,18.823348400301747,105.5865241,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Nghi+Ph%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x3139d9007a08f89f:0xe711713fce1393c9!8m2!3d18.8233372!4d105.5863813!16s%2Fg%2F11x34khw1x!19sChIJn_gIegDZOTERyZMTzj9xEec?authuser=0&hl=vi&rclk=1
13906136880,KM430+500,Trạm Thu phí Km 430+500,Trạm Thu Phí KM430+500,18.9578335,105.5616175,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Km+430%2B500/data=!4m7!3m6!1s0x313763000bb46e25:0x9500363c9d87ab4b!8m2!3d18.9564512!4d105.5617969!16s%2Fg%2F11wflzvlly!19sChIJJW60CwBjNzERS6uHnTw2AJU?authuser=0&hl=vi&rclk=1
