osm_id,epass_name,google_name,osm_name,latitude,longitude,google_maps_url
13603305910,Nút giao Đồng Xuân,Trạm thu phí Đông Xuân,Trạm thu phí Đông Xuân,19.82797580036421,105.69180729999998,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+%C4%90%C3%B4ng+Xu%C3%A2n/data=!4m7!3m6!1s0x3136f70065a9f7c3:0xd5a53e080fbe1b88!8m2!3d19.8279315!4d105.6923302!16s%2Fg%2F11n9w30y3l!19sChIJw_epZQD3NjERiBu-Dwg-pdU?authuser=0&hl=vi&rclk=1
13603305911,Nút giao Đồng Thắng,Trạm Thu Phí Nút giao Đồng Thắng,Trạm Thu Phí Nút giao Đồng Thắng,19.75857320036069,105.6693109,"https://www.google.com/maps/place/19%C2%B045'30.9%22N+105%C2%B040'09.5%22E/@19.7585833,105.6667307,17z/data=!3m1!4b1!4m4!3m3!8m2!3d19.7585833!4d105.6693056?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
13603305908,Nút giao Thiệu Giang,Trạm thu phí Thiệu Giang,Trạm thu phí Thiệu Giang,19.92150180036876,105.7340003,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Thi%E1%BB%87u+Giang,+Thi%E1%BB%87u+Quang,+Thanh+H%C3%B3a,+Vi%E1%BB%87t+Nam/@19.9215272,105.7313966,17z/data=!3m1!4b1!4m6!3m5!1s0x3136f433396da467:0x8e5e8257057a9afd!8m2!3d19.9215272!4d105.7339715!16s%2Fg%2F11wvxkm9wv?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
13603297981,Nút giao Hà Lĩnh,Trạm thu phí Tống Sơn (Hà Lĩnh cũ),Trạm thu phí Tống Sơn (Hà Lĩnh cũ),20.00022140037241,105.7703828,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+T%E1%BB%91ng+S%C6%A1n+%28H%C3%A0+L%C4%A9nh+c%C5%A9%29/data=!4m7!3m6!1s0x31368b0031506fff:0x308580a64019503a!8m2!3d20.0004062!4d105.7704824!16s%2Fg%2F11z1t3672t!19sChIJ_29QMQCLNjEROlAZQKaAhTA?authuser=0&hl=vi&rclk=1
13603297974,Nút giao Gia Miêu,Trạm Thu Phí Hà Trung,Trạm Thu Phí Hà Trung,20.083741300376115,105.80951919999998,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+H%C3%A0+Trung/data=!4m7!3m6!1s0x313661004ba6212d:0x194d2e5d1a07596d!8m2!3d20.0837576!4d105.8094911!16s%2Fg%2F11xvt7d1zc!19sChIJLSGmSwBhNjERbVkHGl0uTRk?authuser=0&hl=vi&rclk=1
13603297970,Nút giao Đồng Giao,Trạm thu phí Đồng Giao,Trạm thu phí Đồng Giao,20.16912210037972,105.87018159999998,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+%C4%90%E1%BB%93ng+Giao/data=!4m7!3m6!1s0x313663004e25a5f5:0x3cda32577eb612d4!8m2!3d20.1690811!4d105.8702073!16s%2Fg%2F11nk2w_ppb!19sChIJ9aUlTgBjNjER1BK2flcy2jw?authuser=0&hl=vi&rclk=1
13603297967,Nút giao Mai Sơn,Trạm thu phí Nút giao Mai Sơn,Trạm thu phí Nút giao Mai Sơn,20.18747420038046,105.9561645,"https://www.google.com/maps/place/N%C3%BAt+Giao+Mai+S%C6%A1n,+Y%C3%AAn+Th%E1%BA%AFng,+Ninh+B%C3%ACnh,+Vi%E1%BB%87t+Nam/@20.1877951,105.9531566,717m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31367a9821f4b06f:0xdfa5c73ec317c977!8m2!3d20.1877951!4d105.9557315!16s%2Fg%2F11vq_6pwnh?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
