osm_id,epass_name,google_name,osm_name,latitude,longitude,google_maps_url
8436783101,An Dân (Thạch Bàn),Trạm thu phí An Dân,Trạm thu phí An Dân,13.349179799716865,109.2081907,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+phi%CC%81+An+D%C3%A2n/data=!4m7!3m6!1s0x316f97f5d5f6dcdb:0x275f9ed572d5b048!8m2!3d13.3492996!4d109.2083086!16s%2Fg%2F11f2wfdyp0!19sChIJ29z21fWXbzERSLDVctWeXyc?authuser=0&hl=vi&rclk=1
1101467778,An Sương - An Lạc,Trạm thu phí An Sương - An Lạc,Trạm thu phí An Sương - An Lạc,10.79502456083986,106.59663958436786,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+An+S%C6%B0%C6%A1ng+-+An+L%E1%BA%A1c/@10.7949827,106.5966321,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b882c626f87:0xc3fe29f53512493a!8m2!3d10.7949827!4d106.5966321!16s%2Fg%2F11gbh_x9_3?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D"
10823778103,An Thuận Phát (Phước Tân),Trạm thu phí Đường chuyên dùng vận chuyển VLXD Phước Tân (Trạm Phước Tân),Trạm thu phí Đường chuyên dùng vận chuyển VLXD Phước Tân (Trạm Phước Tân),10.87959379949014,106.911847,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+%C4%90%C6%B0%E1%BB%9Dng+chuy%C3%AAn+d%C3%B9ng+v%E1%BA%ADn+chuy%E1%BB%83n+VLXD+Ph%C6%B0%E1%BB%9Bc+T%C3%A2n+%28Tr%E1%BA%A1m+Ph%C6%B0%E1%BB%9Bc+T%C3%A2n%29/data=!4m7!3m6!1s0x3174df4ec25b8d53:0x4f3f9ca0ac17db93!8m2!3d10.879647!4d106.9118607!16s%2Fg%2F11nmflk_33!19sChIJU41bwk7fdDERk9sXrKCcP08?authuser=0&hl=vi&rclk=1
2174037722,BOT Quốc Lộ 17B,Trạm thu phí Quốc lộ 17B,Trạm thu phí Quốc lộ 17B,20.96477320040369,106.5191774,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Qu%E1%BB%91c+l%E1%BB%99+17B/data=!4m7!3m6!1s0x313580bd850df097:0x301fe632558d0a1d!8m2!3d20.9647965!4d106.5191627!16s%2Fg%2F11b682ndvk!19sChIJl_ANhb2ANTERHQqNVTLmHzA?authuser=0&hl=vi&rclk=1
1010875691,Bình Thung,Trạm Thu phí Bình Thung,Trạm Thu Phí Bình Thung,10.907618060148613,106.79102643896864,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%C3%ACnh+Thung/data=!4m7!3m6!1s0x3174d8ca55555555:0xa12a30fc88753886!8m2!3d10.9076387!4d106.7909879!16s%2Fg%2F1tj5hn2n!19sChIJVVVVVcrYdDERhjh1iPwwKqE?authuser=0&hl=vi&rclk=1
1482439056,Bình Thuận,Trạm Thu Phí Nút Giao Ba Bàu,Trạm Thu phí Ba Bàu,10.932602371898122,107.96800349083978,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+Ba+B%C3%A0u/data=!4m7!3m6!1s0x3174290072516a39:0xbbd6693db0a095e3!8m2!3d10.9325855!4d107.9679958!16s%2Fg%2F11z4vpnr5n!19sChIJOWpRcgApdDER45WgsD1p1rs?authuser=0&hl=vi&rclk=1
10198627130,Bạc Liêu,Trạm thu phí Bạc Liêu,Trạm thu phí Bạc Liêu,9.374107199412157,105.7122544,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%A1c+Li%C3%AAu/data=!4m7!3m6!1s0x31a10618864342cf:0xdba2f305ec5244bb!8m2!3d9.3743521!4d105.7122771!16s%2Fg%2F11c6rfwy2c!19sChIJz0JDhhgGoTERu0RS7AXzots?authuser=0&hl=vi&rclk=1
8432045544,Bắc Bình Định,Trạm thu phí Bắc Bình Định,Trạm thu phí Bắc Bình Định,14.397198499836245,109.01778799999998,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+B%C3%ACnh+%C4%90%E1%BB%8Bnh/data=!4m7!3m6!1s0x3168cfc13d831721:0x6adeb85cc894a565!8m2!3d14.3971237!4d109.0178425!16s%2Fg%2F11f15ht1rt!19sChIJIReDPcHPaDERZaWUyFy43mo?authuser=0&hl=vi&rclk=1
6862997895,Bắc Ninh Hải Dương,Trạm thu phí Cầu Hồ,Trạm thu phí Cầu Hồ,21.08015440040572,106.0921856,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+H%E1%BB%93/data=!4m7!3m6!1s0x31350a743345856d:0xc86375b32c403a72!8m2!3d21.0801386!4d106.0921654!16s%2Fg%2F11gh03_18k!19sChIJbYVFM3QKNTERcjpALLN1Y8g?authuser=0&hl=vi&rclk=1
12369764927,Bắc Thăng Long - Nội Bài,Trạm thu phí Bắc Thăng Long - Nội Bài,Trạm Thu Phí Bắc Thăng Long - Nội Bài,21.203349700407465,105.7797789,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+Th%C4%83ng+Long+-+N%E1%BB%99i+B%C3%A0i/data=!4m7!3m6!1s0x3134fd51f7b40205:0x440a3d15bb1842f3!8m2!3d21.2031777!4d105.7795302!16s%2Fg%2F11h40yh90n!19sChIJBQK091H9NDER80IYuxU9CkQ?authuser=0&hl=vi&rclk=1
