osm_id,epass_name,google_name,osm_name,latitude,longitude,google_maps_url
13603305911,Nút giao Đồng Thắng,Trạm Thu Phí Nút giao Đồng Thắng,Trạm Thu Phí Nút giao Đồng Thắng,19.75857320036069,105.6693109,"https://www.google.com/maps/place/19%C2%B045'30.9%22N+105%C2%B040'09.5%22E/@19.7585833,105.6667307,17z/data=!3m1!4b1!4m4!3m3!8m2!3d19.7585833!4d105.6693056?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
12579076280,Nút giao Vạn Thiện,Trạm Thu Phí Vạn Thiện ( Nhánh 2 ),Trạm Thu Phí Vạn Thiện ( Nhánh 2 ),19.612120000352856,105.6713864,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+V%E1%BA%A1n+Thi%E1%BB%87n+(+Nh%C3%A1nh+2+)/@19.6121389,105.6688418,17z/data=!4m6!3m5!1s0x3137030030c263e5:0xfd28d0ec4fa92db3!8m2!3d19.613476!4d105.671064!16s%2Fg%2F11z5x2yks7?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
13603305917,Nút giao Nghi Sơn,Trạm thu phí BOT Nút giao Nghi Sơn,Trạm thu phí BOT Nút giao Nghi Sơn,19.3647537,105.6952887,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+BOT/@19.3647004,105.6889165,16z/data=!4m9!1m2!2m1!1zTsO6dCBnaWFvIE5naGkgU8ahbiA!3m5!1s0x313709000483c939:0x28cebd57ea76cb30!8m2!3d19.3644552!4d105.6953018!16s%2Fg%2F11z9wh5_6v?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D"
