osm_id,osm_latitude,osm_longitude,verified,epass_name,osm_name,Tọa độ vị trí,google_name,google_latitude,google_longitude,distance,google_address,tên khác,google_maps_url,google_place_id,google_cid
1374421271,20.53999269317483,105.94829054993772,1,Liêm Tuyền,Trạm thu phí Liêm Tuyền,"20.539974, 105.948268",Trạm thu phí Liêm Tuyền,20.539974,105.948268,3.135887050351233,"GWQX+X8J Trạm thu phí Liêm Tuyền, CT01, Liêm Tuyền, Ninh Bình, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Li%C3%AAm+Tuy%E1%BB%81n/data=!4m7!3m6!1s0x3135cf5b5f2e87a7:0x2012c7d06b97107e!8m2!3d20.5399736!4d105.9482681!16s%2Fg%2F11n5twjhgc!19sChIJp4cuX1vPNTERfhCXa9DHEiA?authuser=0&hl=vi&rclk=1,ChIJp4cuX1vPNTERfhCXa9DHEiA,2311129256766673022
2581153386,20.447490400390063,106.1197806,1,Mỹ Lộc,Trạm thu phí Mỹ Lộc,"20.447509, 106.119748",Trạm thu phí Mỹ Lộc,20.447509,106.119748,3.9766783096830327,"C4X9+2V5 Trạm Thu phí Mỹ Lộc, Mỹ Lộc, Ninh Bình, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+M%E1%BB%B9+L%E1%BB%99c/data=!4m7!3m6!1s0x3135ddc84cbe6d71:0xa282c51b7390d023!8m2!3d20.4475087!4d106.1197479!16s%2Fg%2F11c0xrzq1c!19sChIJcW2-TMjdNTERI9CQcxvFgqI?authuser=0&hl=vi&rclk=1,ChIJcW2-TMjdNTERI9CQcxvFgqI,11710138702810370083
12725730599,20.288024500384388,106.0126298,1,Cao Bồ,Trạm Thu phí Cao Bồ,"20.288135767342343, 106.01263125230248",Trạm Thu phí Cao Bồ,20.288189,106.012548,20.183297553918965,"Trạm thu phí Cao Bồ, QL10, Ý Yên, Ninh Bình, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cao+B%E1%BB%93/data=!4m7!3m6!1s0x313677005bf355df:0x5adb3ab70b20256e!8m2!3d20.2881895!4d106.0125478!16s%2Fg%2F11m5qkkbz2!19sChIJ31XzWwB3NjERbiUgC7c621o?authuser=0&hl=vi&rclk=1,ChIJ31XzWwB3NjERbiUgC7c621o,6546891041153230190
13603297967,20.18747420038046,105.9561645,1,Nút giao Mai Sơn,Trạm thu phí Nút giao Mai Sơn,"20.1877244,105.9558475",Trạm thu phí Nút giao Mai Sơn,20.1877244,105.9558475,43.22631137047844,"5XQ4+38Q, Nút Giao Mai Sơn, Yên Thắng, Ninh Bình, Việt Nam",,"https://www.google.com/maps/place/N%C3%BAt+Giao+Mai+S%C6%A1n,+Y%C3%AAn+Th%E1%BA%AFng,+Ninh+B%C3%ACnh,+Vi%E1%BB%87t+Nam/@20.1877951,105.9531566,717m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31367a9821f4b06f:0xdfa5c73ec317c977!8m2!3d20.1877951!4d105.9557315!16s%2Fg%2F11vq_6pwnh?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D",,
13603297970,20.16912210037972,105.87018159999998,1,Nút giao Đồng Giao,Trạm thu phí Đồng Giao,"20.169081, 105.870207",Trạm thu phí Đồng Giao,20.169081,105.870207,5.283460132733625,"5V9C+J3 Trạm thu phí Đồng Giao, Tam Điệp, Ninh Bình, Việt Nam",,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+%C4%90%E1%BB%93ng+Giao/data=!4m7!3m6!1s0x313663004e25a5f5:0x3cda32577eb612d4!8m2!3d20.1690811!4d105.8702073!16s%2Fg%2F11nk2w_ppb!19sChIJ9aUlTgBjNjER1BK2flcy2jw?authuser=0&hl=vi&rclk=1,ChIJ9aUlTgBjNjER1BK2flcy2jw,4384872538568004308
13603297974,20.083741300376115,105.80951919999998,1,Nút giao Gia Miêu,Trạm Thu Phí Hà Trung,"20.083758, 105.809491",Trạm Thu Phí Hà Trung,20.083758,105.809491,3.481561890735483,"3RM5+GQ Trạm Thu Phí Hà Trung, Hà Long, Thanh Hóa, Việt Nam",Trạm Thu Phí Hà Trung,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+H%C3%A0+Trung/data=!4m7!3m6!1s0x313661004ba6212d:0x194d2e5d1a07596d!8m2!3d20.0837576!4d105.8094911!16s%2Fg%2F11xvt7d1zc!19sChIJLSGmSwBhNjERbVkHGl0uTRk?authuser=0&hl=vi&rclk=1,ChIJLSGmSwBhNjERbVkHGl0uTRk,1823164401558444397
13603297981,20.00022140037241,105.7703828,1,Nút giao Hà Lĩnh,Trạm thu phí Tống Sơn (Hà Lĩnh cũ),"20.000406, 105.770482",Trạm thu phí Tống Sơn (Hà Lĩnh cũ),20.000406,105.770482,22.99517849104411,"2Q29+8M5 Trạm thu phí Tống Sơn (Hà Lĩnh cũ), Thanh Xá 1, Tống Sơn, Thanh Hóa, Việt Nam",Trạm thu phí Tống Sơn (Hà Lĩnh cũ),https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+T%E1%BB%91ng+S%C6%A1n+%28H%C3%A0+L%C4%A9nh+c%C5%A9%29/data=!4m7!3m6!1s0x31368b0031506fff:0x308580a64019503a!8m2!3d20.0004062!4d105.7704824!16s%2Fg%2F11z1t3672t!19sChIJ_29QMQCLNjEROlAZQKaAhTA?authuser=0&hl=vi&rclk=1,ChIJ_29QMQCLNjEROlAZQKaAhTA,3496342137251385402
13603305908,19.92150180036876,105.7340003,1,Nút giao Thiệu Giang,Trạm thu phí Thiệu Giang,"19.9215272, 105.7313966",Trạm thu phí Thiệu Giang,19.9215272,105.7313966,272.20818384283655,"Thiệu Quang, Thanh Hóa, Việt Nam",Trạm thu phí Thiệu Giang,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Thi%E1%BB%87u+Giang,+Thi%E1%BB%87u+Quang,+Thanh+H%C3%B3a,+Vi%E1%BB%87t+Nam/@19.9215272,105.7313966,17z/data=!3m1!4b1!4m6!3m5!1s0x3136f433396da467:0x8e5e8257057a9afd!8m2!3d19.9215272!4d105.7339715!16s%2Fg%2F11wvxkm9wv?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D",,
13603305910,19.82797580036421,105.69180729999998,1,Nút giao Đồng Xuân,Trạm thu phí Đông Xuân,"19.827931, 105.69233",Trạm thu phí Đông Xuân,19.827931,105.69233,54.90234172817848,"RMHR+5W Trạm thu phí Đông Xuân, Đông Sơn, Thanh Hóa, Việt Nam",Trạm thu phí Đông Xuân,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+%C4%90%C3%B4ng+Xu%C3%A2n/data=!4m7!3m6!1s0x3136f70065a9f7c3:0xd5a53e080fbe1b88!8m2!3d19.8279315!4d105.6923302!16s%2Fg%2F11n9w30y3l!19sChIJw_epZQD3NjERiBu-Dwg-pdU?authuser=0&hl=vi&rclk=1,ChIJw_epZQD3NjERiBu-Dwg-pdU,15394779105580686216
13603305911,19.75857320036069,105.6693109,1,Nút giao Đồng Thắng,Trạm Thu Phí Nút giao Đồng Thắng,"19.75857320036069, 105.6693109",Trạm Thu Phí Nút giao Đồng Thắng,19.75857320036069,105.6693109,0.0,"QM68+3Q, Đồng Tiến, Thanh Hóa, Việt Nam",,"https://www.google.com/maps/place/19%C2%B045'30.9%22N+105%C2%B040'09.5%22E/@19.7585833,105.6667307,17z/data=!3m1!4b1!4m4!3m3!8m2!3d19.7585833!4d105.6693056?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D",,
