google_name,epass_name,osm_id,osm_name,distance_to_origin,origin_osm_id,origin_osm_name,latitude,longitude,google_maps_url,origin_osm_latitude,origin_osm_longitude
Trạm Thu Phí Nút Giao Ba Bàu,Bình Thuận,1482439056,Trạm Thu phí Ba Bàu,5.1,13594672376,Trạm Thu phí Ba Bàu,10.932602371898122,107.96800349083978,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+Ba+B%C3%A0u/data=!4m7!3m6!1s0x3174290072516a39:0xbbd6693db0a095e3!8m2!3d10.9325855!4d107.9679958!16s%2Fg%2F11z4vpnr5n!19sChIJOWpRcgApdDER45WgsD1p1rs?authuser=0&hl=vi&rclk=1,10.932580999493831,107.96796249999998
Trạm Thu Phí Nút Giao Ba Bàu,Bình Thuận,1482439056,Trạm Thu phí Ba Bàu,5.3,13594672377,Trạm Thu phí Ba Bàu,10.932602371898122,107.96800349083978,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+Ba+B%C3%A0u/data=!4m7!3m6!1s0x3174290072516a39:0xbbd6693db0a095e3!8m2!3d10.9325855!4d107.9679958!16s%2Fg%2F11z4vpnr5n!19sChIJOWpRcgApdDER45WgsD1p1rs?authuser=0&hl=vi&rclk=1,10.932592299493834,107.9680512
Trạm thu phí Bạc Liêu,Bạc Liêu,10198627130,Trạm thu phí Bạc Liêu,0.0,10198627130,Trạm Thu Phí Bạc Liêu,9.374107199412157,105.7122544,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%A1c+Li%C3%AAu/data=!4m7!3m6!1s0x31a10618864342cf:0xdba2f305ec5244bb!8m2!3d9.3743521!4d105.7122771!16s%2Fg%2F11c6rfwy2c!19sChIJz0JDhhgGoTERu0RS7AXzots?authuser=0&hl=vi&rclk=1,9.374107199412157,105.7122544
Trạm thu phí Bạc Liêu,Bạc Liêu,10198627130,Trạm thu phí Bạc Liêu,13.8,10198627129,Trạm Thu Phí Bạc Liêu,9.374107199412157,105.7122544,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%A1c+Li%C3%AAu/data=!4m7!3m6!1s0x31a10618864342cf:0xdba2f305ec5244bb!8m2!3d9.3743521!4d105.7122771!16s%2Fg%2F11c6rfwy2c!19sChIJz0JDhhgGoTERu0RS7AXzots?authuser=0&hl=vi&rclk=1,9.374103999412158,105.71238
Trạm thu phí Bắc Bình Định,Bắc Bình Định,8432045544,Trạm thu phí Bắc Bình Định,0.0,8432045544,Trạm Thu Phí Bắc Bình Định,14.397198499836245,109.01778799999998,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+B%C3%ACnh+%C4%90%E1%BB%8Bnh/data=!4m7!3m6!1s0x3168cfc13d831721:0x6adeb85cc894a565!8m2!3d14.3971237!4d109.0178425!16s%2Fg%2F11f15ht1rt!19sChIJIReDPcHPaDERZaWUyFy43mo?authuser=0&hl=vi&rclk=1,14.397198499836245,109.01778799999998
Trạm thu phí Bắc Bình Định,Bắc Bình Định,8432045544,Trạm thu phí Bắc Bình Định,15.9,8432045543,Trạm Thu Phí Bắc Bình Định,14.397198499836245,109.01778799999998,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+B%C3%ACnh+%C4%90%E1%BB%8Bnh/data=!4m7!3m6!1s0x3168cfc13d831721:0x6adeb85cc894a565!8m2!3d14.3971237!4d109.0178425!16s%2Fg%2F11f15ht1rt!19sChIJIReDPcHPaDERZaWUyFy43mo?authuser=0&hl=vi&rclk=1,14.397263699836255,109.01791899999999
Trạm thu phí Cầu Hồ,Bắc Ninh Hải Dương,6862997895,Trạm thu phí Cầu Hồ,0.0,6862997895,Trạm Thu Phí Bắc Ninh Hải Dương,21.08015440040572,106.0921856,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+H%E1%BB%93/data=!4m7!3m6!1s0x31350a743345856d:0xc86375b32c403a72!8m2!3d21.0801386!4d106.0921654!16s%2Fg%2F11gh03_18k!19sChIJbYVFM3QKNTERcjpALLN1Y8g?authuser=0&hl=vi&rclk=1,21.08015440040572,106.0921856
Trạm thu phí Cầu Hồ,Bắc Ninh Hải Dương,6862997895,Trạm thu phí Cầu Hồ,5.9,12309550425,Trạm Thu Phí Bắc Ninh Hải Dương,21.08015440040572,106.0921856,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+H%E1%BB%93/data=!4m7!3m6!1s0x31350a743345856d:0xc86375b32c403a72!8m2!3d21.0801386!4d106.0921654!16s%2Fg%2F11gh03_18k!19sChIJbYVFM3QKNTERcjpALLN1Y8g?authuser=0&hl=vi&rclk=1,21.08016400040572,106.09224119999999
Trạm thu phí Cầu Hồ,Bắc Ninh Hải Dương,6862997895,Trạm thu phí Cầu Hồ,12.6,12288441186,Trạm Thu Phí Bắc Ninh Hải Dương,21.08015440040572,106.0921856,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+H%E1%BB%93/data=!4m7!3m6!1s0x31350a743345856d:0xc86375b32c403a72!8m2!3d21.0801386!4d106.0921654!16s%2Fg%2F11gh03_18k!19sChIJbYVFM3QKNTERcjpALLN1Y8g?authuser=0&hl=vi&rclk=1,21.080179300405717,106.0923036
Trạm thu phí Cầu Hồ,Bắc Ninh Hải Dương,6862997895,Trạm thu phí Cầu Hồ,15.1,6862997896,Trạm Thu Phí Bắc Ninh Hải Dương,21.08015440040572,106.0921856,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+C%E1%BA%A7u+H%E1%BB%93/data=!4m7!3m6!1s0x31350a743345856d:0xc86375b32c403a72!8m2!3d21.0801386!4d106.0921654!16s%2Fg%2F11gh03_18k!19sChIJbYVFM3QKNTERcjpALLN1Y8g?authuser=0&hl=vi&rclk=1,21.080025100405717,106.09214269999998
